wasted_computation_no_offload,wasted_computation_offload,charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
342628,88615,0.004,0.004,0.006,213450,137376,225000.0
367160,65247,0.004,0.004,0.009,217350,112847,225000.0
383861,65866,0.004,0.004,0.012,215219,96147,225000.0
396502,74271,0.004,0.004,0.015,210537,83508,225000.0
346751,120145,0.004,0.004413793103448276,0.006,199697,133258,213934.4262295082
369619,101913,0.004,0.004413793103448276,0.009,201376,110389,213934.4262295082
385784,81659,0.004,0.004413793103448276,0.012,206542,94225,213934.4262295082
397911,82602,0.004,0.004413793103448276,0.015,204972,82092,213934.4262295082
350370,134815,0.004,0.004827586206896552,0.006,191637,129636,203906.25000000003
372312,123317,0.004,0.004827586206896552,0.009,191066,107688,203906.25000000003
387792,111985,0.004,0.004827586206896552,0.012,192833,92218,203906.25000000003
399350,107952,0.004,0.004827586206896552,0.015,193010,80657,203906.25000000003
353807,155133,0.004,0.005241379310344827,0.006,182146,126199,194776.1194029851
374812,132457,0.004,0.005241379310344827,0.009,185258,105198,194776.1194029851
389519,135923,0.004,0.005241379310344827,0.012,181769,90490,194776.1194029851
400790,132831,0.004,0.005241379310344827,0.015,181523,79210,194776.1194029851
357181,162643,0.004,0.005655172413793104,0.006,176436,122827,186428.57142857142
377105,155563,0.004,0.005655172413793104,0.009,174854,102905,186428.57142857142
391283,150874,0.004,0.005655172413793104,0.012,174260,88726,186428.57142857142
402059,149913,0.004,0.005655172413793104,0.015,173157,77950,186428.57142857142
360390,174359,0.004,0.006068965517241379,0.006,170108,119616,178767.12328767127
379422,157889,0.004,0.006068965517241379,0.009,171552,100585,178767.12328767127
392849,167814,0.004,0.006068965517241379,0.012,166166,87160,178767.12328767127
403317,164366,0.004,0.006068965517241379,0.015,165905,76692,178767.12328767127
363522,195161,0.004,0.006482758620689655,0.006,161196,116488,171710.52631578947
381357,175276,0.004,0.006482758620689655,0.009,163705,98650,171710.52631578947
394707,170649,0.004,0.006482758620689655,0.012,163127,85300,171710.52631578947
404641,176892,0.004,0.006482758620689655,0.015,159630,75369,171710.52631578947
366486,205082,0.004,0.006896551724137931,0.006,155983,113521,165189.87341772154
383580,203147,0.004,0.006896551724137931,0.009,152486,96430,165189.87341772154
396005,186679,0.004,0.006896551724137931,0.012,155791,84004,165189.87341772154
405774,187244,0.004,0.006896551724137931,0.015,154251,74235,165189.87341772154
369183,213610,0.004,0.007310344827586207,0.006,151003,110819,159146.34146341463
385370,210237,0.004,0.007310344827586207,0.009,148197,94636,159146.34146341463
397545,204271,0.004,0.007310344827586207,0.012,148019,82461,159146.34146341463
406916,196425,0.004,0.007310344827586207,0.015,149338,73092,159146.34146341463
371558,233093,0.004,0.007724137931034483,0.006,143440,108450,153529.4117647059
