wasted_computation_no_offload,wasted_computation_offload,charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
321245,22329,0.004,0.004,0.006,218160,128759,225000.0
344209,24710,0.004,0.004,0.009,216315,105797,225000.0
359886,25247,0.004,0.004,0.012,215376,90121,225000.0
371720,26189,0.004,0.004,0.015,214475,78289,225000.0
325078,46139,0.004,0.004413793103448276,0.006,206853,124930,213934.4262295082
346535,49728,0.004,0.004413793103448276,0.009,204446,103472,213934.4262295082
361691,47829,0.004,0.004413793103448276,0.012,204315,88317,213934.4262295082
373047,47880,0.004,0.004413793103448276,0.015,203762,76956,213934.4262295082
328493,77189,0.004,0.004827586206896552,0.006,193788,121512,203906.25000000003
349043,72598,0.004,0.004827586206896552,0.009,193598,100957,203906.25000000003
363554,70472,0.004,0.004827586206896552,0.012,193463,86455,203906.25000000003
374396,69572,0.004,0.004827586206896552,0.015,193218,75610,203906.25000000003
331721,104620,0.004,0.005241379310344827,0.006,182236,118284,194776.1194029851
351385,86327,0.004,0.005241379310344827,0.009,186081,98624,194776.1194029851
365174,86005,0.004,0.005241379310344827,0.012,185452,84834,194776.1194029851
375739,89407,0.004,0.005241379310344827,0.015,183603,74261,194776.1194029851
334880,98230,0.004,0.005655172413793104,0.006,180604,115127,186428.57142857142
353535,100475,0.004,0.005655172413793104,0.009,178754,96474,186428.57142857142
366826,109185,0.004,0.005655172413793104,0.012,174890,83182,186428.57142857142
376930,92918,0.004,0.005655172413793104,0.015,180351,73078,186428.57142857142
337868,108023,0.004,0.006068965517241379,0.006,174537,112137,178767.12328767127
355705,116570,0.004,0.006068965517241379,0.009,170979,94301,178767.12328767127
368313,105374,0.004,0.006068965517241379,0.012,174109,81695,178767.12328767127
378120,102600,0.004,0.006068965517241379,0.015,174856,71888,178767.12328767127
340801,114360,0.004,0.006482758620689655,0.006,169606,109208,171710.52631578947
357534,113738,0.004,0.006482758620689655,0.009,169383,92472,171710.52631578947
370034,122256,0.004,0.006482758620689655,0.012,166140,79972,171710.52631578947
379351,114239,0.004,0.006482758620689655,0.015,168732,70658,171710.52631578947
343577,132560,0.004,0.006896551724137931,0.006,161695,106429,165189.87341772154
359605,137381,0.004,0.006896551724137931,0.009,159590,90404,165189.87341772154
371271,123362,0.004,0.006896551724137931,0.012,163816,78737,165189.87341772154
380423,133994,0.004,0.006896551724137931,0.015,159796,69585,165189.87341772154
346103,149981,0.004,0.007310344827586207,0.006,154392,103899,159146.34146341463
361289,155491,0.004,0.007310344827586207,0.009,151746,88716,159146.34146341463
372701,146193,0.004,0.007310344827586207,0.012,154138,77304,159146.34146341463
381496,141300,0.004,0.007310344827586207,0.015,155549,68511,159146.34146341463
348337,155596,0.004,0.007724137931034483,0.006,150275,101670,153529.4117647059
363064,180436,0.004,0.007724137931034483,0.009,142107,86941,153529.4117647059
374202,147143,0.004,0.007724137931034483,0.012,152001,75801,153529.4117647059
382556,149603,0.004,0.007724137931034483,0.015,151015,67451,153529.4117647059
350676,159903,0.004,0.008137931034482758,0.006,146643,99330,148295.45454545456
364715,170317,0.004,0.008137931034482758,0.009,143132,85288,148295.45454545456
375371,157857,0.004,0.008137931034482758,0.012,146749,74635,148295.45454545456
383766,157123,0.004,0.008137931034482758,0.015,146901,66241,148295.45454545456
352816,178781,0.004,0.008551724137931035,0.006,139546,97191,143406.59340659343
366373,171857,0.004,0.008551724137931035,0.009,140761,83630,143406.59340659343
376596,174892,0.004,0.008551724137931035,0.012,139422,73407,143406.59340659343
384644,166082,0.004,0.008551724137931035,0.015,142304,65365,143406.59340659343
355092,215574,0.004,0.00896551724137931,0.006,128448,94917,138829.78723404257
367912,176785,0.004,0.00896551724137931,0.009,137459,82094,138829.78723404257
377839,179754,0.004,0.00896551724137931,0.012,136369,72166,138829.78723404257
385723,175912,0.004,0.00896551724137931,0.015,137483,64283,138829.78723404257
357197,191787,0.004,0.009379310344827585,0.006,131919,92805,134536.08247422683
369652,194180,0.004,0.009379310344827585,0.009,130719,80357,134536.08247422683
379140,187921,0.004,0.009379310344827585,0.012,132246,70862,134536.08247422683
386544,187446,0.004,0.009379310344827585,0.015,132158,63465,134536.08247422683
358965,196440,0.004,0.009793103448275862,0.006,128720,91040,130500.0
370893,218673,0.004,0.009793103448275862,0.009,122091,79114,130500.0
380248,192175,0.004,0.009793103448275862,0.012,129391,69761,130500.0
387442,197365,0.004,0.009793103448275862,0.015,127593,62567,130500.0
360856,219953,0.004,0.010206896551724139,0.006,121231,89146,126699.02912621362
372326,209336,0.004,0.010206896551724139,0.009,123067,77677,126699.02912621362
381290,203069,0.004,0.010206896551724139,0.012,124616,68719,126699.02912621362
388268,197514,0.004,0.010206896551724139,0.015,126369,61740,126699.02912621362
362778,209422,0.004,0.010620689655172414,0.006,121769,87231,123113.20754716982
373727,220691,0.004,0.010620689655172414,0.009,118398,76279,123113.20754716982
382367,205778,0.004,0.010620689655172414,0.012,122406,67642,123113.20754716982
389165,204357,0.004,0.010620689655172414,0.015,122938,60842,123113.20754716982
364352,235865,0.004,0.011034482758620689,0.006,113990,85654,119724.77064220185
375053,212426,0.004,0.011034482758620689,0.009,119138,74953,119724.77064220185
383463,212228,0.004,0.011034482758620689,0.012,119152,66538,119724.77064220185
389975,212080,0.004,0.011034482758620689,0.015,119139,60033,119724.77064220185
365993,221924,0.004,0.011448275862068966,0.006,115377,84015,116517.85714285714
376264,219182,0.004,0.011448275862068966,0.009,115909,73739,116517.85714285714
384306,236223,0.004,0.011448275862068966,0.012,110635,65700,116517.85714285714
390831,221196,0.004,0.011448275862068966,0.015,114989,59177,116517.85714285714
367600,224231,0.004,0.01186206896551724,0.006,113210,82408,113478.26086956522
377585,224301,0.004,0.01186206896551724,0.009,113109,72424,113478.26086956522
385331,227797,0.004,0.01186206896551724,0.012,111956,64677,113478.26086956522
391628,226045,0.004,0.01186206896551724,0.015,112421,58381,113478.26086956522
369210,244617,0.004,0.012275862068965518,0.006,107269,80799,110593.22033898305
378738,230382,0.004,0.012275862068965518,0.009,110178,71269,110593.22033898305
386322,230190,0.004,0.012275862068965518,0.012,110118,63687,110593.22033898305
392443,230442,0.004,0.012275862068965518,0.015,110000,57558,110593.22033898305
370752,235392,0.004,0.012689655172413793,0.006,107609,79252,107851.23966942151
379839,245140,0.004,0.012689655172413793,0.009,104881,70168,107851.23966942151
387192,244385,0.004,0.012689655172413793,0.012,104759,62811,107851.23966942151
393216,235513,0.004,0.012689655172413793,0.015,107398,56793,107851.23966942151
371979,257296,0.004,0.01310344827586207,0.006,101636,78028,105241.93548387098
380928,255791,0.004,0.01310344827586207,0.009,101017,69078,105241.93548387098
388182,254329,0.004,0.01310344827586207,0.012,100782,61827,105241.93548387098
393858,262403,0.004,0.01310344827586207,0.015,97813,56150,105241.93548387098
