wasted_computation_no_offload,wasted_computation_offload,charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
321245,110919,0.004,0.004,0.006,191690,128759,225000.0
344209,109293,0.004,0.004,0.009,186986,105797,225000.0
359886,107774,0.004,0.004,0.012,184479,90121,225000.0
371720,104630,0.004,0.004,0.015,183567,78289,225000.0
325078,132418,0.004,0.004413793103448276,0.006,181546,124930,213934.4262295082
346535,121424,0.004,0.004413793103448276,0.009,180063,103472,213934.4262295082
361691,110395,0.004,0.004413793103448276,0.012,181147,88317,213934.4262295082
373047,117696,0.004,0.004413793103448276,0.015,176443,76956,213934.4262295082
328493,143313,0.004,0.004827586206896552,0.006,174557,121512,203906.25000000003
349043,145259,0.004,0.004827586206896552,0.009,169210,100957,203906.25000000003
363554,131548,0.004,0.004827586206896552,0.012,171025,86455,203906.25000000003
374396,120290,0.004,0.004827586206896552,0.015,173622,75610,203906.25000000003
331721,174425,0.004,0.005241379310344827,0.006,162625,118284,194776.1194029851
351385,149172,0.004,0.005241379310344827,0.009,165487,98624,194776.1194029851
365174,155365,0.004,0.005241379310344827,0.012,160353,84834,194776.1194029851
375739,146604,0.004,0.005241379310344827,0.015,161783,74261,194776.1194029851
334880,182962,0.004,0.005655172413793104,0.006,157121,115127,186428.57142857142
353535,162265,0.004,0.005655172413793104,0.009,158466,96474,186428.57142857142
366826,170837,0.004,0.005655172413793104,0.012,152819,83182,186428.57142857142
376930,158109,0.004,0.005655172413793104,0.015,155580,73078,186428.57142857142
337868,186844,0.004,0.006068965517241379,0.006,152967,112137,178767.12328767127
355705,164248,0.004,0.006068965517241379,0.009,155573,94301,178767.12328767127
368313,169354,0.004,0.006068965517241379,0.012,151572,81695,178767.12328767127
378120,175087,0.004,0.006068965517241379,0.015,147626,71888,178767.12328767127
340801,183249,0.004,0.006482758620689655,0.006,151049,109208,171710.52631578947
357534,187112,0.004,0.006482758620689655,0.009,146069,92472,171710.52631578947
370034,186635,0.004,0.006482758620689655,0.012,143629,79972,171710.52631578947
379351,183119,0.004,0.006482758620689655,0.015,143186,70658,171710.52631578947
343577,203933,0.004,0.006896551724137931,0.006,142928,106429,165189.87341772154
359605,193640,0.004,0.006896551724137931,0.009,141953,90404,165189.87341772154
371271,202284,0.004,0.006896551724137931,0.012,136576,78737,165189.87341772154
380423,197838,0.004,0.006896551724137931,0.015,136395,69585,165189.87341772154
346103,218045,0.004,0.007310344827586207,0.006,136954,103899,159146.34146341463
361289,210474,0.004,0.007310344827586207,0.009,134870,88716,159146.34146341463
372701,201682,0.004,0.007310344827586207,0.012,135286,77304,159146.34146341463
381496,200488,0.004,0.007310344827586207,0.015,133932,68511,159146.34146341463
348337,231930,0.004,0.007724137931034483,0.006,130933,101670,153529.4117647059
363064,219939,0.004,0.007724137931034483,0.009,130001,86941,153529.4117647059
374202,223397,0.004,0.007724137931034483,0.012,126479,75801,153529.4117647059
382556,215132,0.004,0.007724137931034483,0.015,127474,67451,153529.4117647059
350676,224032,0.004,0.008137931034482758,0.006,130825,99330,148295.45454545456
364715,223374,0.004,0.008137931034482758,0.009,127224,85288,148295.45454545456
375371,230184,0.004,0.008137931034482758,0.012,122653,74635,148295.45454545456
383766,219153,0.004,0.008137931034482758,0.015,124663,66241,148295.45454545456
352816,230556,0.004,0.008551724137931035,0.006,126767,97191,143406.59340659343
366373,236274,0.004,0.008551724137931035,0.009,121658,83630,143406.59340659343
376596,231119,0.004,0.008551724137931035,0.012,120916,73407,143406.59340659343
384644,230955,0.004,0.008551724137931035,0.015,119438,65365,143406.59340659343
355092,239436,0.004,0.00896551724137931,0.006,122732,94917,138829.78723404257
367912,240411,0.004,0.00896551724137931,0.009,118865,82094,138829.78723404257
377839,231822,0.004,0.00896551724137931,0.012,119388,72166,138829.78723404257
385723,238651,0.004,0.00896551724137931,0.015,115621,64283,138829.78723404257
357197,247045,0.004,0.009379310344827585,0.006,118838,92805,134536.08247422683
369652,241467,0.004,0.009379310344827585,0.009,117204,80357,134536.08247422683
379140,242210,0.004,0.009379310344827585,0.012,114821,70862,134536.08247422683
386544,253562,0.004,0.009379310344827585,0.015,109296,63465,134536.08247422683
358965,244895,0.004,0.009793103448275862,0.006,117518,91040,130500.0
370893,254330,0.004,0.009793103448275862,0.009,111989,79114,130500.0
380248,252844,0.004,0.009793103448275862,0.012,110118,69761,130500.0
387442,259110,0.004,0.009793103448275862,0.015,106440,62567,130500.0
360856,254598,0.004,0.010206896551724139,0.006,113408,89146,126699.02912621362
372326,262995,0.004,0.010206896551724139,0.009,108099,77677,126699.02912621362
381290,258968,0.004,0.010206896551724139,0.012,106907,68719,126699.02912621362
388268,251404,0.004,0.010206896551724139,0.015,108001,61740,126699.02912621362
362778,270702,0.004,0.010620689655172414,0.006,107862,87231,123113.20754716982
373727,277399,0.004,0.010620689655172414,0.009,102697,76279,123113.20754716982
382367,271145,0.004,0.010620689655172414,0.012,102124,67642,123113.20754716982
389165,264358,0.004,0.010620689655172414,0.015,102680,60842,123113.20754716982
364352,274557,0.004,0.011034482758620689,0.006,105578,85654,119724.77064220185
375053,276203,0.004,0.011034482758620689,0.009,101633,74953,119724.77064220185
383463,276964,0.004,0.011034482758620689,0.012,99091,66538,119724.77064220185
