charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
0.001,0.001,0.001,130525,99855,150000.0
0.001,0.001,0.002,129461,75436,150000.0
0.001,0.001,0.0029999999999999996,130287,60112,150000.0
0.001,0.001,0.003999999999999999,122079,50216,150000.0
0.001,0.001,0.004999999999999999,121142,42544,150000.0
0.001,0.001,0.005999999999999999,125510,37670,150000.0
0.001,0.001,0.006999999999999998,121919,33449,150000.0
0.001,0.001,0.007999999999999998,120923,29894,150000.0
0.001,0.001,0.008999999999999998,122166,27160,150000.0
0.001,0.001,0.009999999999999998,120138,25176,150000.0
0.001,0.001,0.011,117518,23280,150000.0
0.001,0.001,0.011999999999999997,117678,21490,150000.0
0.001,0.001,0.012999999999999998,116346,20135,150000.0
0.001,0.001,0.013999999999999999,114809,18877,150000.0
0.001,0.001,0.015,119965,17727,150000.0
0.001,0.0014117647058823528,0.001,113479,88217,124390.24390243905
0.001,0.0014117647058823528,0.002,110628,68555,124390.24390243905
0.001,0.0014117647058823528,0.0029999999999999996,107422,55634,124390.24390243905
0.001,0.0014117647058823528,0.003999999999999999,110482,46926,124390.24390243905
0.001,0.0014117647058823528,0.004999999999999999,104662,40893,124390.24390243905
0.001,0.0014117647058823528,0.005999999999999999,105530,35855,124390.24390243905
0.001,0.0014117647058823528,0.006999999999999998,108029,31892,124390.24390243905
0.001,0.0014117647058823528,0.007999999999999998,106055,28856,124390.24390243905
0.001,0.0014117647058823528,0.008999999999999998,108475,26539,124390.24390243905
0.001,0.0014117647058823528,0.009999999999999998,102602,24256,124390.24390243905
0.001,0.0014117647058823528,0.011,106176,22427,124390.24390243905
0.001,0.0014117647058823528,0.011999999999999997,108246,20876,124390.24390243905
0.001,0.0014117647058823528,0.012999999999999998,99724,19583,124390.24390243905
0.001,0.0014117647058823528,0.013999999999999999,99639,18349,124390.24390243905
0.001,0.0014117647058823528,0.015,102319,17108,124390.24390243905
0.001,0.0018235294117647058,0.001,100790,78920,106250.00000000001
0.001,0.0018235294117647058,0.002,96220,62615,106250.00000000001
0.001,0.0018235294117647058,0.0029999999999999996,91959,51795,106250.00000000001
0.001,0.0018235294117647058,0.003999999999999999,92063,43638,106250.00000000001
0.001,0.0018235294117647058,0.004999999999999999,91014,38624,106250.00000000001
0.001,0.0018235294117647058,0.005999999999999999,91575,34228,106250.00000000001
0.001,0.0018235294117647058,0.006999999999999998,89737,30488,106250.00000000001
0.001,0.0018235294117647058,0.007999999999999998,88269,28061,106250.00000000001
0.001,0.0018235294117647058,0.008999999999999998,91639,25618,106250.00000000001
0.001,0.0018235294117647058,0.009999999999999998,90439,23598,106250.00000000001
0.001,0.0018235294117647058,0.011,85140,21796,106250.00000000001
0.001,0.0018235294117647058,0.011999999999999997,93027,20302,106250.00000000001
0.001,0.0018235294117647058,0.012999999999999998,92562,18973,106250.00000000001
0.001,0.0018235294117647058,0.013999999999999999,87998,17731,106250.00000000001
0.001,0.0018235294117647058,0.015,88976,16795,106250.00000000001
0.001,0.002235294117647059,0.001,89971,70467,92727.27272727274
0.001,0.002235294117647059,0.002,85310,56958,92727.27272727274
0.001,0.002235294117647059,0.0029999999999999996,80845,48428,92727.27272727274
0.001,0.002235294117647059,0.003999999999999999,79243,41823,92727.27272727274
0.001,0.002235294117647059,0.004999999999999999,78187,36559,92727.27272727274
0.001,0.002235294117647059,0.005999999999999999,83265,32561,92727.27272727274
0.001,0.002235294117647059,0.006999999999999998,79933,29058,92727.27272727274
0.001,0.002235294117647059,0.007999999999999998,80814,26966,92727.27272727274
0.001,0.002235294117647059,0.008999999999999998,79501,24743,92727.27272727274
