charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
0.0001,0.0001,0.0001,146475,106799,150000.0
0.0001,0.0001,0.0012000000000000001,133836,24241,150000.0
0.0001,0.0001,0.0023,132498,13156,150000.0
0.0001,0.0001,0.0034,132155,9061,150000.0
0.0001,0.0001,0.0045000000000000005,131776,7045,150000.0
0.0001,0.0001,0.005600000000000001,136888,5690,150000.0
0.0001,0.0001,0.0067,136737,4790,150000.0
0.0001,0.0001,0.0078000000000000005,136399,4108,150000.0
0.0001,0.0001,0.0089,136664,3634,150000.0
0.0001,0.0001,0.01,136629,3238,150000.0
0.0001,0.0004413793103448276,0.0001,52399,43276,55414.012738853504
0.0001,0.0004413793103448276,0.0012000000000000001,49926,19211,55414.012738853504
0.0001,0.0004413793103448276,0.0023,49430,11511,55414.012738853504
0.0001,0.0004413793103448276,0.0034,49246,8309,55414.012738853504
0.0001,0.0004413793103448276,0.0045000000000000005,49220,6561,55414.012738853504
0.0001,0.0004413793103448276,0.005600000000000001,49157,5367,55414.012738853504
0.0001,0.0004413793103448276,0.0067,49150,4570,55414.012738853504
0.0001,0.0004413793103448276,0.0078000000000000005,48984,3961,55414.012738853504
0.0001,0.0004413793103448276,0.0089,49049,3493,55414.012738853504
0.0001,0.0004413793103448276,0.01,48986,3132,55414.012738853504
0.0001,0.0007827586206896553,0.0001,31928,30158,33984.37499999999
0.0001,0.0007827586206896553,0.0012000000000000001,31713,15888,33984.37499999999
0.0001,0.0007827586206896553,0.0023,31741,10243,33984.37499999999
0.0001,0.0007827586206896553,0.0034,31786,7666,33984.37499999999
0.0001,0.0007827586206896553,0.0045000000000000005,31790,6157,33984.37499999999
0.0001,0.0007827586206896553,0.005600000000000001,31757,5112,33984.37499999999
0.0001,0.0007827586206896553,0.0067,31709,4358,33984.37499999999
0.0001,0.0007827586206896553,0.0078000000000000005,31689,3783,33984.37499999999
0.0001,0.0007827586206896553,0.0089,31704,3351,33984.37499999999
0.0001,0.0007827586206896553,0.01,31716,3024,33984.37499999999
0.0001,0.001124137931034483,0.0001,26787,25484,24507.042253521122
0.0001,0.001124137931034483,0.0012000000000000001,26059,13577,24507.042253521122
0.0001,0.001124137931034483,0.0023,25669,9276,24507.042253521122
0.0001,0.001124137931034483,0.0034,25467,7167,24507.042253521122
0.0001,0.001124137931034483,0.0045000000000000005,25366,5793,24507.042253521122
0.0001,0.001124137931034483,0.005600000000000001,25345,4826,24507.042253521122
0.0001,0.001124137931034483,0.0067,25572,4174,24507.042253521122
0.0001,0.001124137931034483,0.0078000000000000005,25193,3639,24507.042253521122
0.0001,0.001124137931034483,0.0089,25194,3242,24507.042253521122
0.0001,0.001124137931034483,0.01,25226,2920,24507.042253521122
0.0001,0.0014655172413793106,0.0001,21421,20123,19162.995594713655
0.0001,0.0014655172413793106,0.0012000000000000001,20545,11829,19162.995594713655
0.0001,0.0014655172413793106,0.0023,20024,8452,19162.995594713655
0.0001,0.0014655172413793106,0.0034,20001,6661,19162.995594713655
0.0001,0.0014655172413793106,0.0045000000000000005,19887,5439,19162.995594713655
0.0001,0.0014655172413793106,0.005600000000000001,20090,4608,19162.995594713655
0.0001,0.0014655172413793106,0.0067,20068,3995,19162.995594713655
0.0001,0.0014655172413793106,0.0078000000000000005,19708,3528,19162.995594713655
0.0001,0.0014655172413793106,0.0089,19719,3134,19162.995594713655
0.0001,0.0014655172413793106,0.01,19632,2846,19162.995594713655
0.0001,0.0018068965517241383,0.0001,17391,16535,15732.368896925856
0.0001,0.0018068965517241383,0.0012000000000000001,16801,10498,15732.368896925856
0.0001,0.0018068965517241383,0.0023,16422,7796,15732.368896925856
0.0001,0.0018068965517241383,0.0034,16168,6229,15732.368896925856
0.0001,0.0018068965517241383,0.0045000000000000005,16311,5149,15732.368896925856
0.0001,0.0018068965517241383,0.005600000000000001,15748,4394,15732.368896925856
0.0001,0.0018068965517241383,0.0067,16166,3818,15732.368896925856
0.0001,0.0018068965517241383,0.0078000000000000005,15883,3385,15732.368896925856
0.0001,0.0018068965517241383,0.0089,15913,3059,15732.368896925856
0.0001,0.0018068965517241383,0.01,16338,2772,15732.368896925856
0.0001,0.0021482758620689655,0.0001,14618,14032,13343.558282208589
0.0001,0.0021482758620689655,0.0012000000000000001,14254,9474,13343.558282208589
0.0001,0.0021482758620689655,0.0023,13807,7247,13343.558282208589
0.0001,0.0021482758620689655,0.0034,13679,5868,13343.558282208589
0.0001,0.0021482758620689655,0.0045000000000000005,13614,4896,13343.558282208589
0.0001,0.0021482758620689655,0.005600000000000001,13589,4211,13343.558282208589
0.0001,0.0021482758620689655,0.0067,13356,3674,13343.558282208589
0.0001,0.0021482758620689655,0.0078000000000000005,13419,3277,13343.558282208589
0.0001,0.0021482758620689655,0.0089,13464,2953,13343.558282208589
0.0001,0.0021482758620689655,0.01,13494,2698,13343.558282208589
0.0001,0.0024896551724137932,0.0001,12628,12180,11584.553928095873
0.0001,0.0024896551724137932,0.0012000000000000001,12326,8657,11584.553928095873
0.0001,0.0024896551724137932,0.0023,11986,6770,11584.553928095873
0.0001,0.0024896551724137932,0.0034,11929,5510,11584.553928095873
0.0001,0.0024896551724137932,0.0045000000000000005,11707,4647,11584.553928095873
0.0001,0.0024896551724137932,0.005600000000000001,11821,4031,11584.553928095873
0.0001,0.0024896551724137932,0.0067,11693,3530,11584.553928095873
0.0001,0.0024896551724137932,0.0078000000000000005,11805,3170,11584.553928095873
0.0001,0.0024896551724137932,0.0089,11679,2878,11584.553928095873
0.0001,0.0024896551724137932,0.01,11261,2628,11584.553928095873
0.0001,0.002831034482758621,0.0001,11105,10777,10235.294117647058
0.0001,0.002831034482758621,0.0012000000000000001,10852,7940,10235.294117647058
0.0001,0.002831034482758621,0.0023,10583,6337,10235.294117647058
0.0001,0.002831034482758621,0.0034,10443,5219,10235.294117647058
0.0001,0.002831034482758621,0.0045000000000000005,10359,4431,10235.294117647058
0.0001,0.002831034482758621,0.005600000000000001,10393,3854,10235.294117647058
0.0001,0.002831034482758621,0.0067,10313,3421,10235.294117647058
0.0001,0.002831034482758621,0.0078000000000000005,9998,3063,10235.294117647058
0.0001,0.002831034482758621,0.0089,10100,2773,10235.294117647058
0.0001,0.002831034482758621,0.01,10222,2555,10235.294117647058
0.0001,0.0031724137931034486,0.0001,9942,9657,9167.54478398314
0.0001,0.0031724137931034486,0.0012000000000000001,9744,7394,9167.54478398314
0.0001,0.0031724137931034486,0.0023,9498,5940,9167.54478398314
0.0001,0.0031724137931034486,0.0034,9379,4935,9167.54478398314
0.0001,0.0031724137931034486,0.0045000000000000005,9420,4248,9167.54478398314
0.0001,0.0031724137931034486,0.005600000000000001,9169,3708,9167.54478398314
0.0001,0.0031724137931034486,0.0067,9010,3313,9167.54478398314
0.0001,0.0031724137931034486,0.0078000000000000005,9346,2986,9167.54478398314
0.0001,0.0031724137931034486,0.0089,9125,2701,9167.54478398314
0.0001,0.0031724137931034486,0.01,9008,2483,9167.54478398314
0.0001,0.0035137931034482763,0.0001,9007,8787,8301.526717557252
0.0001,0.0035137931034482763,0.0012000000000000001,8854,6877,8301.526717557252
0.0001,0.0035137931034482763,0.0023,8690,5581,8301.526717557252
